Id	Title	Length
1	Spider-Man: No Way Home	148
2	CODA	111
3	Last Night in Soho	116
4	tick, tick...BOOM!	115
5	Encanto	102
6	The Conjuring	112
7	Knives Out	130
8	Pulp Fiction	154
9	Hacksaw Ridge	139
10	Don't Look Up	138
11	Titanic	194
12	Scott Pilgrim vs. the World	112
13	Raiders of the Lost Ark	115
14	Star Wars	121
15	A Quiet Place	90
16	Good Will Hunting	126
17	The Greatest Showman	105
18	Sherlock Holmes	128
19	The Imitation Game	114
20	Zack Snyder's Justice League	242
21	Harry Potter and the Prisoner of Azkaban	142
22	Spider-Man: Into the Spider-Verse	117
23	Now You See Me	115
24	Jojo Rabbit	108
25	Whiplash	106
26	Logan	137
27	The Batman	176
28	Dune	155
29	Joker	122
30	Avengers: Infinity War	149
31	Inception	148
32	The Matrix	136
33	Back to the Future	116
34	Split	117
