Id	Title	Year	Length	ImdbUrl	ImageUrl
1	Spider-Man: No Way Home	2021	148	https://www.imdb.com/title/tt10872600/	https://xl.movieposterdb.com/21_12/2021/10872600/xl_10872600_c809b67f.jpg
2	CODA	2021	111	https://www.imdb.com/title/tt10366460/	https://xl.movieposterdb.com/22_03/2021/10366460/xl_10366460_7c3382a8.jpg
3	Last Night in Soho	2021	116	https://www.imdb.com/title/tt9639470/	https://xl.movieposterdb.com/21_09/2020/9639470/xl_9639470_6e7eeab5.jpg
4	tick, tick...BOOM!	2021	115	https://www.imdb.com/title/tt8721424/	https://xl.movieposterdb.com/22_01/2021/8721424/xl_8721424_ac84bfc0.jpg
5	Encanto	2021	102	https://www.imdb.com/title/tt2953050/	https://xl.movieposterdb.com/22_01/2021/2953050/xl_2953050_296eb960.jpg
6	The Conjuring	2013	112	https://www.imdb.com/title/tt1457767/	https://xl.movieposterdb.com/13_09/2013/1457767/xl_1457767_1845afad.jpg
7	Knives Out	2019	130	https://www.imdb.com/title/tt8946378/	https://xl.movieposterdb.com/21_08/2019/8946378/xl_8946378_4a1d9009.jpg
8	Pulp Fiction	1994	154	https://www.imdb.com/title/tt0110912/	https://xl.movieposterdb.com/07_10/1994/110912/xl_110912_55345443.jpg
9	Hacksaw Ridge	2016	139	https://www.imdb.com/title/tt2119532/	https://xl.movieposterdb.com/20_06/2016/2119532/xl_2119532_3bdc4486.jpg
10	Don't Look Up	2021	138	https://www.imdb.com/title/tt11286314/	https://xl.movieposterdb.com/21_11/2021/11286314/xl_11286314_180758a0.jpg
11	Titanic	1997	194	https://www.imdb.com/title/tt0120338/	https://xl.movieposterdb.com/13_01/1997/120338/xl_120338_ec934bd6.jpg
12	Scott Pilgrim vs. the World	2010	112	https://www.imdb.com/title/tt0446029/	https://xl.movieposterdb.com/10_05/2010/446029/xl_446029_62f6d1e5.jpg
13	Raiders of the Lost Ark	1981	115	https://www.imdb.com/title/tt0082971/	https://xl.movieposterdb.com/20_08/1981/82971/xl_82971_a5e3e742.jpg
14	Star Wars	1977	121	https://www.imdb.com/title/tt0076759/	https://xl.movieposterdb.com/12_05/1977/76759/xl_76759_7dc4ecb6.jpg
15	A Quiet Place	2018	90	https://www.imdb.com/title/tt6644200/	https://xl.movieposterdb.com/22_01/2018/6644200/xl_6644200_a3b10b57.jpg
16	Good Will Hunting	1997	126	https://www.imdb.com/title/tt0119217/	https://xl.movieposterdb.com/10_09/1997/119217/xl_119217_a4210c61.jpg
17	The Greatest Showman	2017	105	https://www.imdb.com/title/tt1485796/	https://xl.movieposterdb.com/21_04/2017/1485796/xl_1485796_86d3bb81.jpg
18	Sherlock Holmes	2009	128	https://www.imdb.com/title/tt0988045/	https://xl.movieposterdb.com/09_11/2009/988045/xl_988045_f180e4b3.jpg
19	The Imitation Game	2014	114	https://www.imdb.com/title/tt2084970/	https://xl.movieposterdb.com/14_09/2014/2084970/xl_2084970_899fb82b.jpg
20	Zack Snyder's Justice League	2021	242	https://www.imdb.com/title/tt12361974/	https://xl.movieposterdb.com/21_06/2021/12361974/xl_12361974_e6b24dc8.jpg
21	Harry Potter and the Prisoner of Azkaban	2004	142	https://www.imdb.com/title/tt0304141/	https://xl.movieposterdb.com/11_09/2004/304141/xl_304141_11ace17d.jpg
22	Spider-Man: Into the Spider-Verse	2018	117	https://www.imdb.com/title/tt4633694/	https://xl.movieposterdb.com/22_01/2018/4633694/xl_4633694_7cf3243b.jpg
23	Now You See Me	2013	115	https://www.imdb.com/title/tt1670345/	https://xl.movieposterdb.com/13_03/2013/1670345/xl_1670345_a15fb3ce.jpg
24	Jojo Rabbit	2019	108	https://www.imdb.com/title/tt2584384/	https://xl.movieposterdb.com/20_03/2019/2584384/xl_2584384_4c60f1c4.jpg
25	Whiplash	2014	106	https://www.imdb.com/title/tt2582802/	https://xl.movieposterdb.com/14_08/2014/2582802/xl_2582802_bba7691b.jpg
26	Logan	2017	137	https://www.imdb.com/title/tt3315342/	https://xl.movieposterdb.com/20_06/2017/3315342/xl_3315342_fea54314.jpg
27	The Batman	2022	176	https://www.imdb.com/title/tt1877830/	https://xl.movieposterdb.com/22_02/2022/1877830/xl_1877830_764432ad.jpg
28	Dune	2021	155	https://www.imdb.com/title/tt1160419/	https://xl.movieposterdb.com/21_08/2021/1160419/xl_1160419_565d3d10.jpg
29	Joker	2019	122	https://www.imdb.com/title/tt7286456/	https://xl.movieposterdb.com/20_10/2019/7286456/xl_7286456_7ef4c4bc.jpg
30	Avengers: Infinity War	2018	149	https://www.imdb.com/title/tt4154756/	https://xl.movieposterdb.com/21_12/2018/4154756/xl_4154756_bb7ad394.jpg
31	Inception	2010	148	https://www.imdb.com/title/tt1375666/	https://xl.movieposterdb.com/10_06/2010/1375666/xl_1375666_07030c72.jpg
32	The Matrix	1999	136	https://www.imdb.com/title/tt0133093/	https://xl.movieposterdb.com/09_09/1999/133093/xl_133093_9be13253.jpg
33	Back to the Future	1985	116	https://www.imdb.com/title/tt0088763/	https://xl.movieposterdb.com/08_07/1985/88763/xl_88763_12849996.jpg
34	Split	2016	117	https://www.imdb.com/title/tt4972582/	https://xl.movieposterdb.com/21_10/2016/3315656/xl_3315656_817e6241.jpg
